Dista(Graus)	Long	Lat	Bouguer(mGal)
16.5705378552	-39.6366558603	-19.3299927425	190.525177002
16.607117409	-39.6032911678	-19.3449881099	187.338516235
16.6436969628	-39.5699264752	-19.3599834774	187.641601562
16.6802765165	-39.5365617827	-19.3749788448	184.504058838
16.7168560703	-39.5031970901	-19.3899742122	183.250091553
16.7534356241	-39.4698323976	-19.4049695797	180.367263794
16.7900151778	-39.436467705	-19.4199649471	181.975296021
16.8265947316	-39.4031030125	-19.4349603146	179.881057739
16.8631742853	-39.3697383199	-19.449955682	177.805236816
16.8997538391	-39.3363736274	-19.4649510494	178.492294312
16.9363333929	-39.3030089348	-19.4799464169	175.054046631
16.9729129466	-39.2696442423	-19.4949417843	177.983337402
17.0094925004	-39.2362795497	-19.5099371517	175.746795654
17.0460720542	-39.2029148572	-19.5249325192	181.151657104
17.0826516079	-39.1695501646	-19.5399278866	185.271362305
17.1192311617	-39.1361854721	-19.5549232541	197.175567627
17.1558107155	-39.1028207795	-19.5699186215	193.498947144
